	logFC	logCPM	PValue	FDR
Bet1	-0.352898581	3.759896686	0.020044898	0.447239127
Cltc	-0.263812172	8.441537274	0.020082863	0.447239127
Slamf7	-0.347136851	5.675116911	0.020087822	0.447239127
Slc25a53	-0.445136124	1.958019814	0.02013496	0.447311959
Lancl3	-0.325899757	3.375157264	0.020190257	0.447452785
Lgmn	0.45698069	4.251671336	0.020243032	0.447452785
Adamtsl4	0.510506174	2.733580333	0.020294491	0.447452785
Rps23	0.270142127	9.829657297	0.020316823	0.447452785
Dffa	0.27152794	5.232187638	0.020410613	0.447814005
Gcnt1	-0.403777525	4.901554938	0.020421056	0.447814005
Fbxo48	-0.550481524	2.216773995	0.020552438	0.449525391
Aspm	-0.350915447	5.641172481	0.020587267	0.449525391
Rhob	0.655521959	0.139200399	0.020673629	0.449574238
Lmo4	0.357540938	3.800461873	0.020685881	0.449574238
Ccnl2	0.253245157	7.464812417	0.020733191	0.449574238
Zfand4	-0.491862614	2.175632149	0.020829058	0.449574238
Ltb	0.267529435	8.03600157	0.02088147	0.449574238
Chchd10	0.491498986	2.697327072	0.020906914	0.449574238
Purb	-0.30718369	8.086139917	0.020967048	0.449574238
Lck	0.250340842	10.29189574	0.021013072	0.449574238
Sytl2	-0.391197512	5.730024197	0.021034001	0.449574238
Dcaf10	-0.291871021	5.242497906	0.021110017	0.449574238
Dennd5a	-0.48304773	2.286373611	0.021124858	0.449574238
Il7r	-0.723436886	2.041761272	0.02114739	0.449574238
Aldh1l1	-0.694995469	0.751671975	0.021273652	0.449574238
Kcnj16	-0.767354839	0.136495285	0.021275663	0.449574238
Usp37	-0.34777638	5.905463406	0.021318646	0.449574238
Sestd1	-0.448591724	2.046683266	0.021332038	0.449574238
Rrm1	-0.358523859	7.555062888	0.021475989	0.449574238
Tet2	-0.26017394	5.76817433	0.021477429	0.449574238
Adcy6	0.372378799	4.263549362	0.021492685	0.449574238
Appl1	-0.328872449	6.582933204	0.021505091	0.449574238
Gprin3	-0.395731071	2.81384491	0.021523293	0.449574238
Strn3	-0.34056693	5.454265982	0.021588711	0.449574238
Pggt1b	-0.328046371	5.367540931	0.021603548	0.449574238
Themis2	0.448617391	2.970574436	0.021695145	0.450080709
Mki67	-0.313059712	9.406297606	0.021764394	0.450080709
Atp5d	0.384200912	7.043212927	0.021798783	0.450080709
Vkorc1l1	-0.326509696	4.521161848	0.021830316	0.450080709
Tceb2	0.341980346	6.723050815	0.021900965	0.450080709
Dleu2	0.339913112	4.246504149	0.021914603	0.450080709
Cmtm4	-0.29896362	4.319982695	0.021936855	0.450080709
Tbl1xr1	-0.287787111	7.11843366	0.022076986	0.452046246
Icosl	0.529413183	1.40015306	0.022139635	0.452106625
Ect2	-0.438736057	5.275724526	0.02216861	0.452106625
Stard4	-0.274859758	6.116875411	0.022298562	0.453094198
Atp5e	0.263919691	7.233406799	0.022305902	0.453094198
2610020H08Rik	-0.364811605	3.803194475	0.022361627	0.453323084
Sec24d	-0.324051518	4.216012491	0.022585255	0.45694811
Cdc7	-0.314649843	5.131451098	0.022630171	0.456950211
Recql4	-0.362044415	3.66691886	0.022825303	0.458273251
Atp1b1	0.357611885	3.310077102	0.022830009	0.458273251
Creld2	-0.281030599	5.202603175	0.02283052	0.458273251
Ulbp1	-0.547173059	2.061912824	0.022930816	0.459382177
Rnf157	0.318843508	5.623626117	0.023050162	0.460210107
Kmt2a	-0.246131331	8.139673625	0.023080123	0.460210107
Mcm10	-0.36401656	5.188588874	0.023148594	0.460210107
Hcfc1r1	0.481282036	3.472025204	0.023197717	0.460210107
Tuba1a	0.253431598	6.869753678	0.023233299	0.460210107
Smg1	-0.281786591	9.124584006	0.023242935	0.460210107
Rpl8	0.318295019	10.20571556	0.023766492	0.468168002
Msh6	-0.249414973	6.318820082	0.023795004	0.468168002
Rpl37	0.271405836	8.659448648	0.023808786	0.468168002
Swsap1	0.387350848	2.879586047	0.023863074	0.468168002
Fam212b	0.536771547	0.721840889	0.023923793	0.468168002
Ubn2	-0.303493573	6.366010698	0.023925784	0.468168002
Gm12185	-0.374274196	2.886606954	0.023966235	0.468168002
Slc36a4	-0.351535326	2.776742373	0.024051472	0.468934716
Rgs10	0.274155297	7.745940292	0.024121438	0.469401337
Itpr1	-0.240404298	6.466518311	0.024268449	0.47057306
Timm10b	0.326668292	4.848795727	0.024303029	0.47057306
Casp8ap2	-0.373719437	6.593061378	0.024320094	0.47057306
Rc3h2	-0.293499315	6.178189492	0.02436974	0.4706406
Ptpn21	-0.461011204	1.910507261	0.024455091	0.471396146
Hspa5	-0.287835346	10.00381615	0.024669775	0.474021052
Cxx1b	0.426451221	2.526388017	0.024684238	0.474021052
Snai3	0.514836851	1.202443058	0.024771635	0.474805195
Aurkaip1	0.252769621	6.116975354	0.02488867	0.475192467
Rpl29	0.417958752	9.296708697	0.0248991	0.475192467
Gale	0.290518022	4.596098595	0.024934801	0.475192467
Klc4	0.315058649	4.107103263	0.024978245	0.475192467
Cacnb3	0.623872369	1.954854117	0.025124287	0.47708073
Sys1	0.375123891	5.811498517	0.025191787	0.477207436
Rundc3a	0.542341976	2.689759604	0.025224557	0.477207436
Cacnb4	-0.503352905	1.347830307	0.025342626	0.477687425
St8sia4	-0.301486715	6.224444821	0.02534362	0.477687425
Canx	-0.304895111	8.958277108	0.025532008	0.478406125
Bcl2l2	-0.357255106	3.146675114	0.025537743	0.478406125
Slc27a3	0.520996385	0.989071692	0.025649422	0.478406125
Ndufa2	0.295467144	5.395986296	0.025676629	0.478406125
Ggt7	0.491478341	1.789710044	0.025695547	0.478406125
BC049352	0.625881015	1.146319017	0.025736174	0.478406125
Hook2	0.317467144	3.524694098	0.025752689	0.478406125
Pmepa1	-0.420588899	1.476643962	0.025848749	0.478406125
AI467606	0.269218375	7.753614139	0.025850564	0.478406125
Herc1	-0.270803957	7.718679843	0.025850914	0.478406125
Exo1	-0.329046295	4.128757577	0.025901139	0.478467244
Unc119	0.339726478	4.674514312	0.02600723	0.479558265
Mdm4	-0.29648579	7.239578595	0.026162678	0.4808199
Fam208a	-0.334992516	6.42741667	0.026169956	0.4808199
Lnpep	-0.311904093	7.809079823	0.026270756	0.481634155
Gpr183	0.262263965	6.315481976	0.02632651	0.481634155
Ccne2	-0.472213737	4.627465311	0.026359386	0.481634155
Zfp933	0.490161193	3.617858759	0.02643785	0.481634155
Nespas	0.625341297	0.242583462	0.02649101	0.481634155
Fancd2	-0.347862871	4.523995783	0.026613707	0.481634155
Abcb9	0.371718079	6.477056554	0.026633168	0.481634155
Pja1	0.25447043	5.364878815	0.026635111	0.481634155
Edem1	-0.245333684	7.849791461	0.026639713	0.481634155
Snx20	0.305853155	6.151179741	0.026686604	0.481634155
Phc3	-0.276561348	6.926663906	0.026843949	0.483156936
Gm13212	-0.314953969	4.127291869	0.026865743	0.483156936
Tm6sf1	0.313813591	4.988941765	0.026965033	0.484088809
Ltn1	-0.253295728	6.852952661	0.027039396	0.484570683
Orc6	-0.357009723	4.880969168	0.027171289	0.485803138
Lars2	-0.555736532	10.00301993	0.027203451	0.485803138
Gng5	0.311480578	6.10503237	0.027473196	0.489330559
Abi2	-0.307518942	5.241454993	0.027496951	0.489330559
Rad51ap1	-0.3837757	4.132824191	0.027566249	0.489709137
Psmb10	0.262396989	7.208950011	0.027745444	0.490673478
Rad54l2	-0.255634981	5.967226589	0.027750772	0.490673478
Zdhhc21	-0.315048011	5.995051181	0.027802556	0.490673478
Slc3a2	0.241527947	6.420395666	0.02789351	0.490673478
Taok1	-0.299829122	6.549714319	0.027903737	0.490673478
Xist	-0.273324211	10.05677544	0.027938394	0.490673478
Sh3gl3	0.755227407	0.158568482	0.027969227	0.490673478
1110008P14Rik	0.383644412	4.780807755	0.028045496	0.490673478
Chaf1a	-0.344096	6.138147972	0.028075602	0.490673478
Mis18bp1	-0.446758875	4.308827276	0.028191173	0.490673478
Braf	-0.272787269	5.232101321	0.028194839	0.490673478
Cd200r4	-0.548736294	0.412127547	0.028197966	0.490673478
Rmi2	-0.318654838	4.050232555	0.028326376	0.492068238
Ston2	-0.308337955	4.724901713	0.028381804	0.492192606
Cox8a	0.31182443	7.443117228	0.028512075	0.492495369
Edem3	-0.307983669	6.185749007	0.028512397	0.492495369
Cep170	-0.286420353	4.346837306	0.028651889	0.492495369
Prdm2	-0.239751016	7.213402498	0.028684016	0.492495369
Sp4	-0.291236762	6.326615524	0.028763484	0.492495369
Celsr1	0.314120923	7.07369366	0.028773796	0.492495369
Fam43a	0.751314257	2.134009413	0.028832717	0.492495369
Cobll1	-0.298255444	4.69326927	0.028846873	0.492495369
Lrrc40	-0.324821481	4.055372949	0.028874067	0.492495369
Ncapd3	-0.269270481	6.2075219	0.028904131	0.492495369
C330027C09Rik	-0.37743316	5.669504518	0.028990584	0.492495369
Neurl2	0.611979381	0.276674969	0.029028076	0.492495369
Rundc3b	-0.307144467	3.933535106	0.029101005	0.492495369
Pop5	0.256930797	5.383503052	0.029157232	0.492495369
Fam20a	0.308891172	4.4884024	0.029169689	0.492495369
Rps7	0.255662377	9.974919138	0.029211788	0.492495369
Litaf	0.24706215	5.780378047	0.02924895	0.492495369
Plxnd1	0.430617429	4.669268882	0.029330532	0.492495369
Gxylt1	-0.302772586	5.920057313	0.029357603	0.492495369
Dapk1	-0.500817181	1.415191808	0.029403809	0.492495369
Trim37	-0.296021584	5.366611806	0.029413522	0.492495369
Zfp827	0.440497156	1.895600295	0.029467306	0.49255895
Zbtb41	-0.326331225	4.678222729	0.029572441	0.49255895
Steap3	-0.593632716	1.568329072	0.029588304	0.49255895
Crmp1	0.515996609	2.653271848	0.029705471	0.49255895
Clic4	-0.261979248	6.565169248	0.029752912	0.49255895
Mcm3	-0.288946924	7.730513184	0.02981897	0.49255895
Mrpl34	0.361356426	4.736089354	0.029819334	0.49255895
Eif1b	0.292407215	5.907878264	0.029869824	0.49255895
1700025G04Rik	-0.32380545	3.111802006	0.029900218	0.49255895
Gphn	-0.342740178	2.977855652	0.029900362	0.49255895
Scai	-0.344881295	5.424647718	0.030210578	0.495854839
Snhg6	0.326082532	4.158883484	0.030246114	0.495854839
Apaf1	-0.23545257	6.688506803	0.030246319	0.495854839
Casp3	-0.286645269	7.655498472	0.030348006	0.496723295
Pds5a	-0.277811656	7.816351895	0.030449892	0.497126111
Uba52	0.38283223	9.412884943	0.030470121	0.497126111
9330151L19Rik	-0.394286273	1.923640187	0.030663049	0.499474616
Map1lc3b	0.243164439	7.243678081	0.030737813	0.499482863
Smc5	-0.344752725	6.114052055	0.030778942	0.499482863
Endov	0.300117819	4.241236746	0.030810505	0.499482863
Lonrf1	-0.414393813	1.772034587	0.030958418	0.501084102
Mastl	-0.434862036	3.58203302	0.031147939	0.502196344
Blm	-0.383440077	4.833431553	0.031225723	0.502196344
Rbm42	0.27584561	6.568036784	0.03123115	0.502196344
Rpl32	0.233956027	9.741637506	0.031235098	0.502196344
Mir7115	-0.579349972	0.7259025	0.031326407	0.502196344
Gbp5	-0.270563267	4.793682443	0.031373243	0.502196344
Kctd17	0.321046557	4.209265356	0.031463186	0.502196344
Tbc1d19	-0.431969274	1.369093732	0.031491454	0.502196344
Man2a1	-0.260499155	7.760939593	0.031518919	0.502196344
Gbp3	-0.273808791	5.732027719	0.031564964	0.502196344
Phip	-0.364491111	7.352890356	0.031568879	0.502196344
Tnfaip8l2	0.310635054	6.205446236	0.031761295	0.504470293
Zfp276	0.301867356	5.127319762	0.03184768	0.505055665
Tgfbr3	-0.339641976	4.476896658	0.031914073	0.505322674
Smim4	0.409284079	2.588126071	0.032050529	0.506696499
Suz12	-0.317884417	7.647593728	0.032421863	0.509698901
Magt1	-0.32680616	6.648196333	0.032446925	0.509698901
Cdc25a	-0.258804905	5.475284651	0.032448747	0.509698901
Efna4	0.670264194	0.023665216	0.032483813	0.509698901
Fam76b	-0.27179372	5.950562299	0.032490368	0.509698901
Atp2a2	-0.240635022	8.355277715	0.03256543	0.510018954
Rps17	0.360156546	9.458679711	0.032615111	0.510018954
Rps28	0.370101072	8.393078294	0.032714032	0.510018954
Ccdc85b	0.355983373	4.073980261	0.032736861	0.510018954
Mien1	0.26952746	6.108973789	0.032760853	0.510018954
Pigyl	0.324967076	3.512401361	0.032855351	0.510022445
Dcp2	-0.294180964	7.117556288	0.032861111	0.510022445
Hist3h2ba	0.476415845	2.019748675	0.033040418	0.512026057
Tpra1	0.328109044	5.46628826	0.033187502	0.512372579
Cenpk	-0.409038814	3.593806449	0.033209789	0.512372579
Acot2	0.354711617	3.712608529	0.03326347	0.512372579
Mad2l1	-0.303859724	6.035546582	0.033263768	0.512372579
Imp3	0.255982565	5.40690455	0.033356004	0.512481681
2810417H13Rik	-0.407560851	7.672461293	0.033378499	0.512481681
Gsap	-0.286799892	4.929242754	0.033478534	0.512481681
Socs3	0.354267277	6.518431694	0.033515313	0.512481681
Casp1	-0.447725898	5.062977122	0.033558025	0.512481681
Hspa13	-0.34992034	4.838826061	0.033589862	0.512481681
Rora	0.380564999	5.766922529	0.033622658	0.512481681
Themis	-0.259657269	7.050360337	0.033683341	0.512640345
Mbd4	-0.315019587	4.134612656	0.03380321	0.512701024
Kpna3	-0.298159729	6.360800507	0.033889682	0.512701024
Pask	-0.36710313	3.929027869	0.033927068	0.512701024
Scand1	0.47394695	6.072779235	0.033972516	0.512701024
Ndufb4	0.261558506	4.789177991	0.03398167	0.512701024
Acaca	-0.230859194	5.837441057	0.033989006	0.512701024
Ung	-0.33658892	4.28413995	0.034157368	0.513397989
Mrps17	0.268126862	4.885216955	0.034194675	0.513397989
Mtmr4	-0.214548444	6.134371923	0.034207461	0.513397989
1810043G02Rik	0.464191503	1.868917302	0.034267153	0.513397989
Fitm2	0.436208514	1.347663346	0.03428695	0.513397989
Smc2	-0.379382419	7.375800593	0.0345182	0.514571108
Rpl18	0.260768023	9.968914571	0.034595708	0.514571108
Snrpg	0.249931996	6.731847867	0.034667075	0.514571108
Nudt13	-0.318364989	3.144573498	0.034720673	0.514571108
Sgip1	-0.5185453	0.875844381	0.034740097	0.514571108
Rpl35a	0.24798958	9.335315233	0.03479029	0.514571108
Tnnt1	0.421937266	2.041333246	0.034833078	0.514571108
Gm2a	0.220359411	7.221720081	0.034855102	0.514571108
Klf2	0.305102862	7.875149105	0.034894531	0.514571108
Med14	-0.240617482	6.837533663	0.034911719	0.514571108
2310039H08Rik	0.417347834	2.104866911	0.034920389	0.514571108
Arhgap21	-0.532129814	2.630126507	0.034996706	0.51495153
Slc25a29	0.539820807	1.160530488	0.035208387	0.515389602
A930005H10Rik	0.334726029	4.76474578	0.035271487	0.515389602
Limd2	0.263775334	10.09505094	0.03533865	0.515389602
Hmg20b	0.282803114	4.795478817	0.035371174	0.515389602
Mrpl52	0.303136411	5.587544776	0.035448048	0.515389602
Mrpl17	0.291775503	4.829385497	0.035503438	0.515389602
Tia1	-0.266794004	6.066699356	0.035714599	0.515389602
Ankrd49	-0.380738362	3.646601555	0.03573775	0.515389602
Ctu1	0.346045753	3.231707151	0.035748367	0.515389602
Zfp219	0.311911367	4.421371047	0.035771105	0.515389602
Gatsl3	0.343135835	3.998555034	0.035787921	0.515389602
Tlr7	-0.239114149	5.070597574	0.035883858	0.515389602
Nt5c	0.262405678	6.846547278	0.036000316	0.515389602
Stk25	0.235512922	6.183500883	0.03601839	0.515389602
Rasl11a	0.55238546	0.4321804	0.036107046	0.515389602
02-Mar	0.22300297	6.215656098	0.036129747	0.515389602
1190002N15Rik	-0.305626489	4.943457206	0.036219496	0.515389602
Cpeb4	-0.326075294	5.923119564	0.036333464	0.515389602
Ahnak	-0.28319414	9.989503179	0.036385862	0.515389602
Zfp69	0.424010503	2.06791476	0.036394778	0.515389602
Hyou1	-0.241113638	7.586089287	0.036414321	0.515389602
Wdr45	0.263310131	5.044025596	0.03642544	0.515389602
6330403K07Rik	0.452775765	1.593428768	0.036600215	0.515389602
Cpd	-0.460773957	1.493258576	0.036665581	0.515389602
Cpox	-0.274815301	4.935795245	0.036689222	0.515389602
Fabp5	0.348618247	3.657042771	0.036757163	0.515389602
Agtrap	-0.33283792	4.9339969	0.036823682	0.515389602
Col11a2	0.305534519	3.084622035	0.036836246	0.515389602
Plod2	-0.399444147	2.138275539	0.036887382	0.515389602
Cep85l	-0.458520127	1.259732762	0.036918703	0.515389602
Cep152	-0.241613776	5.232477948	0.036973414	0.515389602
Traf5	0.253391032	6.047508423	0.037052583	0.515389602
Pikfyve	-0.25403152	5.79377506	0.037086905	0.515389602
Rbm38	0.34774022	7.534337688	0.037092276	0.515389602
Nfe2	0.570408487	1.453854591	0.037226421	0.515389602
1810022K09Rik	0.249184601	4.971169908	0.03725752	0.515389602
Orai1	0.354216177	5.613872276	0.037280065	0.515389602
Junb	0.272363906	7.741602749	0.037305209	0.515389602
Tnfrsf9	-0.301750936	4.842232585	0.037430368	0.515389602
Egr1	0.232817896	7.734071812	0.037434644	0.515389602
Tprn	0.316053369	3.790363544	0.037449332	0.515389602
4831440E17Rik	0.533739986	0.398217307	0.037470205	0.515389602
Chd8	-0.221381364	7.845951654	0.037547893	0.515389602
Ptger2	0.261410276	4.107506957	0.037638362	0.515389602
Nt5c2	-0.250355445	4.828097612	0.037748572	0.515389602
Angptl6	0.570822414	0.360176273	0.037758997	0.515389602
Ccdc126	0.330489802	3.335201263	0.037822583	0.515389602
Ids	-0.281126317	4.753142558	0.037864387	0.515389602
Spcs3	-0.300543921	7.419347407	0.037879727	0.515389602
Fmr1	-0.347989582	6.819163448	0.037926352	0.515389602
Ccl4	0.431372374	4.790663045	0.038019016	0.515389602
Zdhhc2	-0.354138388	3.009488557	0.038119629	0.515389602
Akap17b	-0.386850238	2.587980528	0.03812146	0.515389602
Nprl2	0.288260582	4.501560921	0.038133516	0.515389602
Trip11	-0.263061237	6.133237377	0.038133818	0.515389602
Pds5b	-0.272262833	6.701340773	0.038161785	0.515389602
Ndufb11	0.266408704	6.311775664	0.038188982	0.515389602
Rtn4rl1	0.274183103	4.374359271	0.038193007	0.515389602
Tdp2	-0.337529105	4.953197062	0.038217764	0.515389602
Kansl1l	-0.310839574	3.823384053	0.038249499	0.515389602
Fndc3a	-0.245182076	5.891964446	0.038288179	0.515389602
9230114K14Rik	-0.516095513	0.664690007	0.038313834	0.515389602
Birc6	-0.233087694	8.782904271	0.038334019	0.515389602
Bad	0.328442147	3.888999332	0.038356003	0.515389602
Wnk1	-0.21759988	9.156186751	0.038424875	0.515389602
Mysm1	-0.271888323	5.970635881	0.038454537	0.515389602
Zfp777	0.296151877	4.562349027	0.038466125	0.515389602
Prickle1	0.482808046	0.809876077	0.038466452	0.515389602
Spag5	-0.349955737	5.638101692	0.038513963	0.515389602
Tpi1	0.213721925	7.20116519	0.038571593	0.515484313
S100a13	0.24674338	5.856132976	0.038721759	0.516163997
Cisd3	0.300688028	4.686245337	0.038748992	0.516163997
Zbtb37	-0.285898192	3.814709169	0.038774308	0.516163997
Pnrc2	-0.220766494	7.192334898	0.038842335	0.516395426
E2f7	-0.354510443	3.913583396	0.038989352	0.517675034
Zbtb8os	0.350788779	5.650721107	0.03905134	0.517823819
Acbd6	0.369014838	5.178189619	0.039108413	0.517907126
AI413582	0.280171385	4.843517335	0.03917827	0.518159297
Ccdc167	0.266583145	4.117202762	0.039252761	0.518472031
Manea	-0.315504118	4.213405382	0.039316103	0.518636872
Ubr5	-0.215997991	8.209638576	0.039474921	0.519637154
Plk4	-0.343086243	5.278992095	0.039566313	0.519637154
Mapk11	0.240502559	6.353870458	0.039594803	0.519637154
Rps21	0.280319002	8.799509566	0.039633071	0.519637154
Rrm2	-0.320667427	7.713741008	0.03964673	0.519637154
Ndufb10	0.241290973	6.369514579	0.03983332	0.521412533
Brip1	-0.323327058	4.745678438	0.039938649	0.522121028
Myo9a	-0.385071945	3.789774294	0.040009972	0.522383723
Cdk17	-0.23562595	7.18600255	0.04006778	0.522469507
Mcm5	-0.277705922	7.904491853	0.040198783	0.52317502
Plxdc2	0.544518825	0.686347261	0.040236253	0.52317502
Iigp1	-0.266920004	5.769151331	0.040311163	0.52317502
Mrpl43	0.291921227	5.412198126	0.040397345	0.52317502
Xrcc2	-0.415891231	3.070096053	0.040434398	0.52317502
Brwd1	-0.2305306	6.055410385	0.040478172	0.52317502
Zhx3	-0.289985475	3.513153458	0.040481033	0.52317502
Lats1	-0.23770862	5.840192573	0.040543257	0.523315939
Lztfl1	-0.331501384	4.234036757	0.040782083	0.525607583
Zranb3	-0.44885236	3.56250558	0.040843877	0.525607583
Xk	-0.319150157	3.576433457	0.041139663	0.525607583
Hat1	-0.338371932	6.200796685	0.041146538	0.525607583
Ninj1	0.428225607	1.976769604	0.041165874	0.525607583
Gps2	0.218687195	6.112926776	0.04119109	0.525607583
Chst3	0.556204648	0.389041432	0.041194745	0.525607583
Stard10	0.281358312	5.438070916	0.041219879	0.525607583
Hnrnph1	-0.303056451	8.432469073	0.041226854	0.525607583
Snora61	0.600670975	0.045936363	0.041239257	0.525607583
Ypel3	0.304967038	6.211654965	0.041304162	0.525607583
Gtf2a1	-0.27517081	5.903191866	0.041380344	0.525607583
Anln	-0.310899008	4.224142751	0.041437081	0.525607583
Adarb1	0.443996112	1.365678651	0.041510009	0.525607583
N4bp1	-0.237660079	6.36649735	0.041511452	0.525607583
Kif15	-0.349003997	6.279408249	0.041545524	0.525607583
Oxld1	0.605869866	1.729822591	0.041607112	0.525734474
Usp31	-0.255888569	4.781266224	0.041849966	0.526265929
Nudcd1	-0.359539822	3.994592077	0.04190892	0.526265929
Cep72	-0.374259049	2.325304291	0.04191352	0.526265929
Surf1	0.233143736	5.873605164	0.041915788	0.526265929
Zfp46	-0.380121387	4.291400203	0.041960107	0.526265929
Chrm4	0.324912887	3.732905521	0.041978304	0.526265929
Oas1a	0.211401898	8.243436663	0.042071933	0.526265929
Ankrd54	0.295376874	4.890777191	0.042087356	0.526265929
Zfp382	-0.276737654	3.776959903	0.042132737	0.526265929
Nup205	-0.253754848	6.658854664	0.042165271	0.526265929
Nvl	-0.235554148	6.233559713	0.042261662	0.526724113
Bloc1s1	0.250611368	5.740967827	0.042305291	0.526724113
Col5a3	-0.516421826	1.991708605	0.042535651	0.528429658
Cntln	-0.413171515	2.659055112	0.042668977	0.528429658
Nucb2	-0.435482895	1.396330825	0.042710447	0.528429658
Ankrd52	-0.218351432	7.532324829	0.042716178	0.528429658
Nampt	-0.234002266	6.73051871	0.042741923	0.528429658
Nr2f6	0.388710126	2.918754101	0.04275797	0.528429658
Wdr90	-0.263988892	4.976948317	0.042805031	0.528429658
Glrx	-0.24256171	6.829783087	0.042923158	0.528498637
